2023-01-12 10:53:09.201[1673517189201] | INFO  | main       | Binance.BinanceRunner                - 2010-01-01T00:00 modified: 2010-01-02T00:00
2023-01-12 10:53:09.201[1673517189201] | INFO  | main       | Binance.BinanceRunner                - prepared params: {symbol=testUSDT, interval=1d, limit=1000, startTime=1262390400000}
2023-01-12 10:53:09.216[1673517189216] | INFO  | main       | Binance.BinanceRunner                - downloaded data size: 2
2023-01-12 10:53:09.232[1673517189232] | INFO  | main       | Binance.BinanceRunner                - checking condition to remove last data from list: false
2023-01-12 10:53:09.232[1673517189232] | INFO  | main       | Binance.BinanceRunner                - checking condition to remove last data from list: false
2023-01-12 10:53:09.232[1673517189232] | INFO  | main       | persistence.DataRepository           - Using hibernate to write data. Data size 1
2023-01-12 10:53:09.232[1673517189232] | INFO  | main       | persistence.DbWriter                 - Saving data to db for: testUSDT
2023-01-12 10:53:09.232[1673517189232] | INFO  | main       | persistence.DbWriter                 - adding data to transaction: BinanceData{dataId=model.DataId@5b3d95e1, open=0.14571623191535965, high=0.8476935181901802, low=0.9949116025630937, close=0.8849275056083286, volume=0.0679541129466813}
2023-01-12 10:53:09.301[1673517189301] | INFO  | main       | persistence.DbWriter                 - Saving all data 1 for testUSDT to Database took: 58 ms
2023-01-12 10:54:15.717[1673517255717] | INFO  | MLog-Init-Reporter | com.mchange.v2.log.MLog              - MLog clients using slf4j logging.
2023-01-12 10:54:15.879[1673517255879] | INFO  | main       | com.mchange.v2.c3p0.C3P0Registry     - Initializing c3p0-0.9.5.5 [built 11-December-2019 22:18:33 -0800; debug? true; trace: 10]
